aprovisionador,es_fraudulento
PRV52504,Yes
PRV53731,No
PRV52182,No
PRV57166,Yes
PRV53710,No
PRV53821,No
PRV52367,No
PRV55736,No
PRV54449,No
PRV51487,No
PRV51952,No
PRV51840,Yes
PRV51075,No
PRV56863,No
PRV54148,No
PRV56621,No
PRV53602,No
PRV53347,No
PRV56305,No
PRV54077,Yes
PRV51414,No
PRV56830,No
PRV54743,Yes
PRV57696,No
PRV54572,No
PRV52572,No
PRV53818,No
PRV53460,No
PRV57657,No
PRV54337,No
PRV52727,No
PRV55035,No
PRV56684,No
PRV51988,No
PRV53013,No
PRV52030,Yes
PRV54315,No
PRV53061,No
PRV53384,Yes
PRV55985,No
PRV51951,Yes
PRV55716,No
PRV54496,No
PRV53035,No
PRV55246,No
PRV54090,No
PRV56554,No
PRV57347,No
PRV53501,No
PRV52940,No
PRV51432,No
PRV57191,Yes
PRV54973,No
PRV57669,No
PRV53280,No
PRV52556,No
PRV53675,No
PRV53566,No
PRV56947,No
PRV54101,No
PRV54365,No
PRV55682,No
PRV53885,No
PRV53540,No
PRV52385,No
PRV51933,No
PRV57615,No
PRV54006,No
PRV51892,No
PRV53188,No
PRV56251,No
PRV53044,No
PRV54931,Yes
PRV52506,No
PRV51049,No
PRV57171,No
PRV51078,No
PRV53920,No
PRV51645,No
PRV56225,Yes
PRV57124,No
PRV57662,No
PRV51799,No
PRV52683,No
PRV57757,No
PRV54033,No
PRV55195,Yes
PRV53291,No
PRV55654,No
PRV51488,No
PRV56015,No
PRV55423,No
PRV53007,Yes
PRV55601,No
PRV52772,No
PRV52356,No
PRV57655,No
PRV54508,No
PRV52144,No
PRV51998,No
PRV57438,No
PRV52028,No
PRV55155,No
PRV53591,No
PRV52022,No
PRV55275,No
PRV54210,No
PRV55188,No
PRV54403,No
PRV56543,No
PRV56734,No
PRV55706,No
PRV54173,No
PRV56881,No
PRV53787,Yes
PRV57470,No
PRV57335,Yes
PRV53045,No
PRV51748,No
PRV52228,No
PRV54500,No
PRV51579,No
PRV56115,No
PRV55171,Yes
PRV56321,No
PRV51349,No
PRV56134,Yes
PRV53525,No
PRV57228,No
PRV57316,No
PRV56224,No
PRV55625,No
PRV53401,Yes
PRV57179,Yes
PRV51733,No
PRV56869,No
PRV54145,No
PRV51601,No
PRV56700,No
PRV56988,No
PRV52238,No
PRV56945,No
PRV53131,No
PRV55236,No
PRV55995,No
PRV55655,No
PRV54680,Yes
PRV55541,No
PRV57367,No
PRV51352,No
PRV54298,No
PRV51718,No
PRV56916,No
PRV55997,No
PRV53934,No
PRV54526,No
PRV57510,No
PRV53648,No
PRV52122,No
PRV55049,Yes
PRV57010,No
PRV54863,No
PRV53585,No
PRV55161,No
PRV53848,No
PRV53478,No
PRV52649,Yes
PRV52291,No
PRV55525,No
PRV57203,No
PRV52274,No
PRV55697,No
PRV53137,No
PRV55818,No
PRV52928,No
PRV56263,No
PRV56867,No
PRV52993,No
PRV55453,Yes
PRV52799,No
PRV57181,No
PRV53788,No
PRV51496,No
PRV53274,No
PRV55240,No
PRV52691,No
PRV53999,No
PRV54808,Yes
PRV52017,No
PRV57570,No
PRV54007,No
PRV57098,No
PRV54052,No
PRV52861,No
PRV56784,No
PRV53840,No
PRV55852,Yes
PRV57753,No
PRV52912,No
PRV51354,No
PRV56635,No
PRV51857,Yes
PRV51305,No
PRV57031,No
PRV52508,No
PRV54587,No
PRV54125,No
PRV51047,No
PRV53419,No
PRV51781,No
PRV54287,No
PRV57024,No
PRV53917,No
PRV53323,No
PRV57069,No
PRV55133,No
PRV53935,No
PRV55465,No
PRV53261,No
PRV54348,No
PRV57176,No
PRV53078,No
PRV52570,No
PRV56200,No
PRV52069,No
PRV52404,No
PRV53565,No
PRV54183,No
PRV55887,No
PRV55467,Yes
PRV52433,No
PRV53119,Yes
PRV53490,No
PRV56530,No
PRV57710,No
PRV57333,No
PRV56591,Yes
PRV53593,No
PRV56445,No
PRV56978,No
PRV54645,No
PRV54792,No
PRV55676,Yes
PRV53484,No
PRV55741,No
PRV51617,No
PRV54433,No
PRV51870,No
PRV55742,No
PRV54986,Yes
PRV56102,No
PRV52931,No
PRV51965,No
PRV55763,No
PRV54935,No
PRV52310,No
PRV55937,No
PRV57699,No
PRV55442,No
PRV54096,No
PRV51307,No
PRV54350,Yes
PRV54059,No
PRV57762,No
PRV55480,No
PRV54876,Yes
PRV51917,No
PRV55587,No
PRV52584,No
PRV51258,No
PRV57227,No
PRV55235,No
PRV51729,No
PRV52188,No
PRV52076,No
PRV55413,No
PRV54091,No
PRV57189,Yes
PRV52089,Yes
PRV52904,No
PRV54652,No
PRV54705,No
PRV56724,No
PRV53975,No
PRV57139,No
PRV52857,No
PRV55295,No
PRV51852,No
PRV51635,No
PRV51458,No
PRV52758,No
PRV52582,No
PRV57752,No
PRV53607,No
PRV51230,No
PRV54810,No
PRV56575,Yes
PRV52063,No
PRV56586,No
PRV51222,No
PRV51636,No
PRV54026,No
PRV54465,No
PRV57329,No
PRV51784,No
PRV54132,No
PRV53475,No
PRV52855,No
PRV51044,No
PRV57733,No
PRV56428,Yes
PRV55622,No
PRV55786,No
PRV52639,No
PRV51255,No
PRV53558,No
PRV55027,Yes
PRV53689,No
PRV53116,No
PRV51171,No
PRV52473,No
PRV53671,Yes
PRV54250,No
PRV56052,No
PRV56721,No
PRV52770,No
PRV53224,No
PRV56140,No
PRV56374,No
PRV54242,No
PRV52863,No
PRV51136,No
PRV51859,No
PRV52032,Yes
PRV52357,No
PRV53407,No
PRV57474,No
PRV52306,No
PRV55724,No
PRV51958,No
PRV51746,No
PRV52837,No
PRV57149,No
PRV53173,No
PRV53124,No
PRV53454,No
PRV56368,No
PRV57500,No
PRV52607,No
PRV53819,No
PRV54343,No
PRV56189,No
PRV56860,No
PRV54873,No
PRV53174,No
PRV56217,No
PRV51747,No
PRV54793,No
PRV53427,No
PRV56470,No
PRV51705,No
PRV52482,No
PRV54228,No
PRV53677,Yes
PRV56800,No
PRV52169,No
PRV57266,No
PRV54771,Yes
PRV56942,No
PRV53265,Yes
PRV52120,Yes
PRV56049,No
PRV57522,No
PRV52925,No
PRV55202,No
PRV53376,No
PRV56590,No
PRV51532,No
PRV51366,No
PRV56485,No
PRV52066,Yes
PRV55590,No
PRV56227,No
PRV52791,No
PRV57126,No
PRV52398,No
PRV56933,No
PRV57192,No
PRV52948,No
PRV51675,No
PRV53796,No
PRV54723,No
PRV57571,No
PRV56536,No
PRV53252,No
PRV51890,No
PRV57414,No
PRV54735,No
PRV55910,No
PRV51535,No
PRV51528,No
PRV54794,No
PRV55210,No
PRV54511,No
PRV57208,No
PRV57626,No
PRV53363,No
PRV56722,No
PRV53635,No
PRV52602,No
PRV54981,No
PRV51108,No
PRV51389,No
PRV52824,No
PRV55079,No
PRV54472,No
PRV53439,No
PRV54636,No
PRV52101,No
PRV55969,No
PRV55269,No
PRV56241,No
PRV53052,No
PRV56802,No
PRV57651,No
PRV54894,Yes
PRV54251,No
PRV55166,No
PRV52575,No
PRV53238,No
PRV53951,Yes
PRV55800,No
PRV55720,No
PRV53305,No
PRV55486,No
PRV51574,Yes
PRV53815,No
PRV51460,No
PRV57529,No
PRV54541,No
PRV54064,No
PRV56236,No
PRV53169,No
PRV56729,No
PRV51669,No
PRV51885,No
PRV57486,No
PRV52123,Yes
PRV54207,No
PRV51661,No
PRV53606,No
PRV54377,No
PRV52460,No
PRV53633,No
PRV52002,Yes
PRV51131,No
PRV53629,No
PRV55108,No
PRV51818,Yes
PRV55425,No
PRV53256,No
PRV52542,No
PRV56523,Yes
PRV54640,No
PRV57080,No
PRV54814,No
PRV56341,No
PRV57592,No
PRV57467,No
PRV55493,No
PRV56760,No
PRV51031,No
PRV53028,No
PRV54637,No
PRV53781,Yes
PRV57714,No
PRV52019,Yes
PRV55215,Yes
PRV56518,No
PRV54167,No
PRV56358,No
PRV55539,No
PRV56852,No
PRV51983,No
PRV52394,No
PRV53134,No
PRV51061,No
PRV53104,No
PRV51708,No
PRV53402,No
PRV55538,No
PRV52750,No
PRV53018,No
PRV53128,No
PRV55012,No
PRV55258,No
PRV57364,No
PRV53792,Yes
PRV57603,No
PRV53103,No
PRV54542,No
PRV56072,No
PRV51327,No
PRV53601,No
PRV51423,No
PRV51259,No
PRV51716,No
PRV56330,No
PRV51956,No
PRV52549,No
PRV52150,No
PRV54565,No
PRV52800,No
PRV52729,No
PRV51961,No
PRV53805,No
PRV52226,No
PRV51279,No
PRV57107,No
PRV52511,Yes
PRV56707,No
PRV53386,No
PRV55513,No
PRV55755,No
PRV55835,Yes
PRV54193,No
PRV55086,No
PRV52560,No
PRV52598,No
PRV55039,Yes
PRV55723,No
PRV54473,No
PRV53213,No
PRV57343,No
PRV55920,No
PRV52981,No
PRV52836,No
PRV52646,No
PRV56122,No
PRV53634,No
PRV53331,No
PRV55814,No
PRV51191,No
PRV53895,Yes
PRV56949,No
PRV53720,No
PRV51086,No
PRV55471,No
PRV52051,No
PRV51170,Yes
PRV53276,No
PRV54146,No
PRV52456,No
PRV55050,No
PRV57365,No
PRV55116,No
PRV54747,No
PRV56703,No
PRV52020,Yes
PRV52166,No
PRV56877,Yes
PRV51776,No
PRV54673,No
PRV53189,No
PRV51596,No
PRV53673,No
PRV57122,No
PRV54240,No
PRV54008,No
PRV57705,No
PRV53351,No
PRV51280,No
PRV54649,Yes
